data division: 1/10, epoch: 1/100, train_loss: 0.9642, train_acc: 0.7495, test_loss: 1.5863, test_acc: 0.4762 
data division: 1/10, epoch: 2/100, train_loss: 0.4351, train_acc: 0.9212, test_loss: 1.0458, test_acc: 0.5571 
data division: 1/10, epoch: 3/100, train_loss: 0.3186, train_acc: 0.9470, test_loss: 0.2966, test_acc: 0.8857 
data division: 1/10, epoch: 4/100, train_loss: 0.2245, train_acc: 0.9688, test_loss: 0.2954, test_acc: 0.8714 
data division: 1/10, epoch: 5/100, train_loss: 0.1879, train_acc: 0.9688, test_loss: 0.2055, test_acc: 0.8857 
data division: 1/10, epoch: 6/100, train_loss: 0.1796, train_acc: 0.9724, test_loss: 0.3886, test_acc: 0.8548 
data division: 1/10, epoch: 7/100, train_loss: 0.1603, train_acc: 0.9742, test_loss: 0.1079, test_acc: 0.9667 
data division: 1/10, epoch: 8/100, train_loss: 0.1251, train_acc: 0.9797, test_loss: 0.1083, test_acc: 0.9500 
data division: 1/10, epoch: 9/100, train_loss: 0.1075, train_acc: 0.9873, test_loss: 0.2014, test_acc: 0.9167 
data division: 1/10, epoch: 10/100, train_loss: 0.0990, train_acc: 0.9924, test_loss: 0.1028, test_acc: 0.9667 
data division: 1/10, epoch: 11/100, train_loss: 0.0891, train_acc: 0.9945, test_loss: 0.1699, test_acc: 0.9524 
data division: 1/10, epoch: 12/100, train_loss: 0.0836, train_acc: 0.9927, test_loss: 0.2382, test_acc: 0.9024 
data division: 1/10, epoch: 13/100, train_loss: 0.1997, train_acc: 0.9488, test_loss: 0.9749, test_acc: 0.7905 
data division: 1/10, epoch: 14/100, train_loss: 0.1770, train_acc: 0.9855, test_loss: 0.5718, test_acc: 0.7381 
data division: 1/10, epoch: 15/100, train_loss: 0.1166, train_acc: 0.9891, test_loss: 0.1484, test_acc: 0.9500 
data division: 1/10, epoch: 16/100, train_loss: 0.0903, train_acc: 0.9927, test_loss: 0.2463, test_acc: 0.9167 
data division: 1/10, epoch: 17/100, train_loss: 0.0848, train_acc: 0.9909, test_loss: 0.0595, test_acc: 0.9833 
data division: 1/10, epoch: 18/100, train_loss: 0.0715, train_acc: 0.9927, test_loss: 0.1268, test_acc: 0.9333 
data division: 1/10, epoch: 19/100, train_loss: 0.0578, train_acc: 0.9964, test_loss: 0.0997, test_acc: 0.9500 
data division: 1/10, epoch: 20/100, train_loss: 0.0440, train_acc: 0.9982, test_loss: 0.0789, test_acc: 0.9667 
data division: 1/10, epoch: 21/100, train_loss: 0.0351, train_acc: 0.9982, test_loss: 0.0589, test_acc: 0.9667 
data division: 1/10, epoch: 22/100, train_loss: 0.0293, train_acc: 0.9982, test_loss: 0.0409, test_acc: 0.9667 
data division: 1/10, epoch: 23/100, train_loss: 0.0272, train_acc: 0.9982, test_loss: 0.0465, test_acc: 0.9667 
data division: 1/10, epoch: 24/100, train_loss: 0.0240, train_acc: 0.9982, test_loss: 0.0561, test_acc: 0.9667 
data division: 1/10, epoch: 25/100, train_loss: 0.0215, train_acc: 0.9982, test_loss: 0.0713, test_acc: 0.9667 
data division: 1/10, epoch: 26/100, train_loss: 0.0179, train_acc: 0.9982, test_loss: 0.0403, test_acc: 1.0000 
data division: 1/10, epoch: 27/100, train_loss: 0.0468, train_acc: 0.9982, test_loss: 0.9990, test_acc: 0.8524 
data division: 1/10, epoch: 28/100, train_loss: 0.0472, train_acc: 0.9964, test_loss: 0.0723, test_acc: 0.9667 
data division: 1/10, epoch: 29/100, train_loss: 0.0484, train_acc: 0.9961, test_loss: 0.0969, test_acc: 0.9500 
data division: 1/10, epoch: 30/100, train_loss: 0.0372, train_acc: 0.9945, test_loss: 0.0605, test_acc: 0.9667 
data division: 1/10, epoch: 31/100, train_loss: 0.0239, train_acc: 0.9982, test_loss: 0.0364, test_acc: 0.9833 
data division: 1/10, epoch: 32/100, train_loss: 0.0191, train_acc: 0.9982, test_loss: 0.0272, test_acc: 0.9833 
data division: 1/10, epoch: 33/100, train_loss: 0.0170, train_acc: 0.9982, test_loss: 0.0252, test_acc: 1.0000 
data division: 1/10, epoch: 34/100, train_loss: 0.0156, train_acc: 0.9982, test_loss: 0.0258, test_acc: 1.0000 
data division: 1/10, epoch: 35/100, train_loss: 0.0147, train_acc: 0.9982, test_loss: 0.0251, test_acc: 1.0000 
data division: 1/10, epoch: 36/100, train_loss: 0.0132, train_acc: 0.9982, test_loss: 0.0242, test_acc: 1.0000 
data division: 1/10, epoch: 37/100, train_loss: 0.0133, train_acc: 0.9982, test_loss: 0.0242, test_acc: 1.0000 
data division: 1/10, epoch: 38/100, train_loss: 0.0128, train_acc: 0.9982, test_loss: 0.0243, test_acc: 1.0000 
data division: 1/10, epoch: 39/100, train_loss: 0.0126, train_acc: 0.9982, test_loss: 0.0246, test_acc: 1.0000 
data division: 1/10, epoch: 40/100, train_loss: 0.0127, train_acc: 0.9982, test_loss: 0.0246, test_acc: 1.0000 
data division: 1/10, epoch: 41/100, train_loss: 0.0117, train_acc: 0.9982, test_loss: 0.0248, test_acc: 1.0000 
data division: 1/10, epoch: 42/100, train_loss: 0.0114, train_acc: 0.9982, test_loss: 0.0241, test_acc: 1.0000 
data division: 1/10, epoch: 43/100, train_loss: 0.0115, train_acc: 0.9982, test_loss: 0.0232, test_acc: 1.0000 
data division: 1/10, epoch: 44/100, train_loss: 0.0115, train_acc: 0.9982, test_loss: 0.0239, test_acc: 1.0000 
data division: 1/10, epoch: 45/100, train_loss: 0.0101, train_acc: 0.9982, test_loss: 0.0234, test_acc: 1.0000 
data division: 1/10, epoch: 46/100, train_loss: 0.0096, train_acc: 0.9982, test_loss: 0.0228, test_acc: 1.0000 
data division: 1/10, epoch: 47/100, train_loss: 0.0100, train_acc: 0.9982, test_loss: 0.0229, test_acc: 1.0000 
data division: 1/10, epoch: 48/100, train_loss: 0.0095, train_acc: 0.9982, test_loss: 0.0228, test_acc: 1.0000 
data division: 1/10, epoch: 49/100, train_loss: 0.0095, train_acc: 0.9982, test_loss: 0.0230, test_acc: 1.0000 
data division: 1/10, epoch: 50/100, train_loss: 0.0100, train_acc: 0.9982, test_loss: 0.0235, test_acc: 1.0000 
data division: 1/10, epoch: 51/100, train_loss: 0.0091, train_acc: 0.9982, test_loss: 0.0234, test_acc: 1.0000 
data division: 1/10, epoch: 52/100, train_loss: 0.0093, train_acc: 0.9982, test_loss: 0.0232, test_acc: 1.0000 
