data division: 0/10, epoch: 1/100, train_loss: 1.2076, train_acc: 0.6983, test_loss: 8.8425, test_acc: 0.4119 
data division: 0/10, epoch: 2/100, train_loss: 0.5086, train_acc: 0.8912, test_loss: 1.1613, test_acc: 0.7071 
data division: 0/10, epoch: 3/100, train_loss: 0.3175, train_acc: 0.9425, test_loss: 0.2777, test_acc: 0.9190 
data division: 0/10, epoch: 4/100, train_loss: 0.2696, train_acc: 0.9482, test_loss: 0.6780, test_acc: 0.7714 
data division: 0/10, epoch: 5/100, train_loss: 0.2398, train_acc: 0.9594, test_loss: 1.4677, test_acc: 0.6405 
data division: 0/10, epoch: 6/100, train_loss: 0.1978, train_acc: 0.9615, test_loss: 0.7831, test_acc: 0.7500 
data division: 0/10, epoch: 7/100, train_loss: 0.1793, train_acc: 0.9745, test_loss: 0.3340, test_acc: 0.8667 
data division: 0/10, epoch: 8/100, train_loss: 0.1476, train_acc: 0.9761, test_loss: 0.9033, test_acc: 0.7548 
data division: 0/10, epoch: 9/100, train_loss: 0.1291, train_acc: 0.9852, test_loss: 0.3511, test_acc: 0.8690 
data division: 0/10, epoch: 10/100, train_loss: 0.1328, train_acc: 0.9833, test_loss: 0.2927, test_acc: 0.9024 
data division: 0/10, epoch: 11/100, train_loss: 0.1103, train_acc: 0.9873, test_loss: 0.5982, test_acc: 0.8167 
data division: 0/10, epoch: 12/100, train_loss: 0.1026, train_acc: 0.9873, test_loss: 0.2420, test_acc: 0.9024 
data division: 0/10, epoch: 13/100, train_loss: 0.1584, train_acc: 0.9855, test_loss: 1.1139, test_acc: 0.6881 
data division: 0/10, epoch: 14/100, train_loss: 0.1567, train_acc: 0.9800, test_loss: 0.3446, test_acc: 0.9024 
data division: 0/10, epoch: 15/100, train_loss: 0.1229, train_acc: 0.9800, test_loss: 0.4387, test_acc: 0.8857 
data division: 0/10, epoch: 16/100, train_loss: 0.1319, train_acc: 0.9855, test_loss: 0.3567, test_acc: 0.8690 
data division: 0/10, epoch: 17/100, train_loss: 0.0894, train_acc: 0.9909, test_loss: 0.5913, test_acc: 0.8667 
data division: 0/10, epoch: 18/100, train_loss: 0.0934, train_acc: 0.9927, test_loss: 0.9966, test_acc: 0.7333 
data division: 0/10, epoch: 19/100, train_loss: 0.0772, train_acc: 0.9927, test_loss: 0.1450, test_acc: 0.9500 
data division: 0/10, epoch: 20/100, train_loss: 0.0582, train_acc: 0.9945, test_loss: 0.2321, test_acc: 0.9024 
data division: 0/10, epoch: 21/100, train_loss: 0.0589, train_acc: 0.9909, test_loss: 0.8765, test_acc: 0.8357 
data division: 0/10, epoch: 22/100, train_loss: 0.0574, train_acc: 0.9927, test_loss: 2.1143, test_acc: 0.6262 
data division: 0/10, epoch: 23/100, train_loss: 0.0456, train_acc: 0.9982, test_loss: 0.1528, test_acc: 0.9667 
data division: 0/10, epoch: 24/100, train_loss: 0.0350, train_acc: 0.9982, test_loss: 0.2255, test_acc: 0.9167 
data division: 0/10, epoch: 25/100, train_loss: 0.0272, train_acc: 0.9964, test_loss: 0.0770, test_acc: 0.9833 
data division: 0/10, epoch: 26/100, train_loss: 0.0283, train_acc: 0.9982, test_loss: 0.2066, test_acc: 0.9500 
data division: 0/10, epoch: 27/100, train_loss: 0.0326, train_acc: 0.9982, test_loss: 0.1503, test_acc: 0.9500 
data division: 0/10, epoch: 28/100, train_loss: 0.0378, train_acc: 0.9982, test_loss: 0.2127, test_acc: 0.9190 
data division: 0/10, epoch: 29/100, train_loss: 0.0558, train_acc: 0.9964, test_loss: 0.4235, test_acc: 0.8524 
data division: 0/10, epoch: 30/100, train_loss: 0.0308, train_acc: 0.9927, test_loss: 0.1308, test_acc: 0.9333 
data division: 0/10, epoch: 31/100, train_loss: 0.0184, train_acc: 0.9964, test_loss: 0.1037, test_acc: 0.9667 
data division: 0/10, epoch: 32/100, train_loss: 0.0122, train_acc: 0.9982, test_loss: 0.0959, test_acc: 0.9667 
data division: 0/10, epoch: 33/100, train_loss: 0.0107, train_acc: 0.9982, test_loss: 0.0915, test_acc: 0.9500 
data division: 0/10, epoch: 34/100, train_loss: 0.0102, train_acc: 0.9982, test_loss: 0.0895, test_acc: 0.9667 
data division: 0/10, epoch: 35/100, train_loss: 0.0094, train_acc: 0.9982, test_loss: 0.0890, test_acc: 0.9667 
data division: 0/10, epoch: 36/100, train_loss: 0.0098, train_acc: 0.9982, test_loss: 0.0871, test_acc: 0.9667 
data division: 0/10, epoch: 37/100, train_loss: 0.0090, train_acc: 0.9982, test_loss: 0.0855, test_acc: 0.9667 
data division: 0/10, epoch: 38/100, train_loss: 0.0085, train_acc: 0.9982, test_loss: 0.0871, test_acc: 0.9667 
data division: 0/10, epoch: 39/100, train_loss: 0.0085, train_acc: 0.9982, test_loss: 0.0862, test_acc: 0.9667 
