data division: 1/10, epoch: 1/100, train_loss: 1.0113, train_acc: 0.7582, test_loss: 0.4897, test_acc: 0.7881 
data division: 1/10, epoch: 2/100, train_loss: 0.4952, train_acc: 0.8967, test_loss: 0.4012, test_acc: 0.8048 
data division: 1/10, epoch: 3/100, train_loss: 0.3442, train_acc: 0.9270, test_loss: 0.2412, test_acc: 0.9190 
data division: 1/10, epoch: 4/100, train_loss: 0.2520, train_acc: 0.9558, test_loss: 0.4896, test_acc: 0.8214 
data division: 1/10, epoch: 5/100, train_loss: 0.2460, train_acc: 0.9612, test_loss: 0.2341, test_acc: 0.8667 
data division: 1/10, epoch: 6/100, train_loss: 0.1860, train_acc: 0.9649, test_loss: 0.5875, test_acc: 0.7738 
data division: 1/10, epoch: 7/100, train_loss: 0.1416, train_acc: 0.9724, test_loss: 0.7406, test_acc: 0.7429 
data division: 1/10, epoch: 8/100, train_loss: 0.1291, train_acc: 0.9873, test_loss: 0.3981, test_acc: 0.8857 
data division: 1/10, epoch: 9/100, train_loss: 0.1148, train_acc: 0.9945, test_loss: 0.5302, test_acc: 0.7881 
data division: 1/10, epoch: 10/100, train_loss: 0.0931, train_acc: 0.9927, test_loss: 1.0266, test_acc: 0.7238 
data division: 1/10, epoch: 11/100, train_loss: 0.0840, train_acc: 0.9942, test_loss: 0.1966, test_acc: 0.9333 
data division: 1/10, epoch: 12/100, train_loss: 0.0877, train_acc: 0.9927, test_loss: 0.2186, test_acc: 0.9000 
data division: 1/10, epoch: 13/100, train_loss: 0.0724, train_acc: 0.9945, test_loss: 0.1664, test_acc: 0.9333 
data division: 1/10, epoch: 14/100, train_loss: 0.0667, train_acc: 0.9964, test_loss: 0.2622, test_acc: 0.9167 
data division: 1/10, epoch: 15/100, train_loss: 0.0744, train_acc: 0.9942, test_loss: 0.1742, test_acc: 0.9333 
data division: 1/10, epoch: 16/100, train_loss: 0.1363, train_acc: 0.9873, test_loss: 1.3956, test_acc: 0.7405 
data division: 1/10, epoch: 17/100, train_loss: 0.0907, train_acc: 0.9982, test_loss: 0.2620, test_acc: 0.8833 
data division: 1/10, epoch: 18/100, train_loss: 0.1104, train_acc: 0.9836, test_loss: 0.2863, test_acc: 0.9167 
data division: 1/10, epoch: 19/100, train_loss: 0.0763, train_acc: 0.9942, test_loss: 0.1827, test_acc: 0.9357 
data division: 1/10, epoch: 20/100, train_loss: 0.0514, train_acc: 0.9964, test_loss: 0.1235, test_acc: 0.9667 
data division: 1/10, epoch: 21/100, train_loss: 0.0544, train_acc: 0.9982, test_loss: 0.2670, test_acc: 0.9333 
data division: 1/10, epoch: 22/100, train_loss: 0.0502, train_acc: 0.9982, test_loss: 1.6671, test_acc: 0.7214 
data division: 1/10, epoch: 23/100, train_loss: 0.0617, train_acc: 0.9945, test_loss: 0.3759, test_acc: 0.9357 
data division: 1/10, epoch: 24/100, train_loss: 0.0601, train_acc: 0.9982, test_loss: 0.2940, test_acc: 0.8500 
data division: 1/10, epoch: 25/100, train_loss: 0.0378, train_acc: 0.9982, test_loss: 0.7301, test_acc: 0.9167 
data division: 1/10, epoch: 26/100, train_loss: 0.0255, train_acc: 0.9982, test_loss: 0.5292, test_acc: 0.9333 
data division: 1/10, epoch: 27/100, train_loss: 0.0225, train_acc: 0.9982, test_loss: 0.0970, test_acc: 0.9667 
data division: 1/10, epoch: 28/100, train_loss: 0.0153, train_acc: 0.9982, test_loss: 0.2160, test_acc: 0.9667 
data division: 1/10, epoch: 29/100, train_loss: 0.0144, train_acc: 0.9982, test_loss: 0.0885, test_acc: 0.9667 
data division: 1/10, epoch: 30/100, train_loss: 0.0105, train_acc: 0.9982, test_loss: 0.0525, test_acc: 0.9667 
data division: 1/10, epoch: 31/100, train_loss: 0.0091, train_acc: 0.9982, test_loss: 0.0373, test_acc: 1.0000 
data division: 1/10, epoch: 32/100, train_loss: 0.0092, train_acc: 0.9982, test_loss: 0.0372, test_acc: 1.0000 
data division: 1/10, epoch: 33/100, train_loss: 0.0077, train_acc: 0.9982, test_loss: 0.0346, test_acc: 1.0000 
data division: 1/10, epoch: 34/100, train_loss: 0.0079, train_acc: 1.0000, test_loss: 0.0472, test_acc: 0.9833 
data division: 1/10, epoch: 35/100, train_loss: 0.0076, train_acc: 1.0000, test_loss: 0.0763, test_acc: 0.9833 
data division: 1/10, epoch: 36/100, train_loss: 0.0074, train_acc: 1.0000, test_loss: 0.0573, test_acc: 0.9833 
data division: 1/10, epoch: 37/100, train_loss: 0.0075, train_acc: 0.9982, test_loss: 0.0555, test_acc: 0.9833 
data division: 1/10, epoch: 38/100, train_loss: 0.0074, train_acc: 1.0000, test_loss: 0.0579, test_acc: 0.9833 
data division: 1/10, epoch: 39/100, train_loss: 0.0071, train_acc: 1.0000, test_loss: 0.0587, test_acc: 0.9833 
data division: 1/10, epoch: 40/100, train_loss: 0.0066, train_acc: 1.0000, test_loss: 0.0698, test_acc: 0.9833 
data division: 1/10, epoch: 41/100, train_loss: 0.0073, train_acc: 1.0000, test_loss: 0.0665, test_acc: 0.9833 
data division: 1/10, epoch: 42/100, train_loss: 0.0070, train_acc: 1.0000, test_loss: 0.0788, test_acc: 0.9833 
data division: 1/10, epoch: 43/100, train_loss: 0.0069, train_acc: 1.0000, test_loss: 0.0818, test_acc: 0.9833 
data division: 1/10, epoch: 44/100, train_loss: 0.0062, train_acc: 1.0000, test_loss: 0.0678, test_acc: 0.9833 
data division: 1/10, epoch: 45/100, train_loss: 0.0064, train_acc: 1.0000, test_loss: 0.0617, test_acc: 0.9833 
data division: 1/10, epoch: 46/100, train_loss: 0.0062, train_acc: 1.0000, test_loss: 0.0594, test_acc: 0.9833 
data division: 1/10, epoch: 47/100, train_loss: 0.0060, train_acc: 1.0000, test_loss: 0.0608, test_acc: 0.9833 
data division: 1/10, epoch: 48/100, train_loss: 0.0068, train_acc: 1.0000, test_loss: 0.0750, test_acc: 0.9833 
data division: 1/10, epoch: 49/100, train_loss: 0.0062, train_acc: 1.0000, test_loss: 0.0481, test_acc: 0.9833 
data division: 1/10, epoch: 50/100, train_loss: 0.0064, train_acc: 1.0000, test_loss: 0.0351, test_acc: 0.9833 
data division: 1/10, epoch: 51/100, train_loss: 0.0057, train_acc: 1.0000, test_loss: 0.0392, test_acc: 0.9833 
data division: 1/10, epoch: 52/100, train_loss: 0.0061, train_acc: 1.0000, test_loss: 0.0414, test_acc: 0.9833 
data division: 1/10, epoch: 53/100, train_loss: 0.0053, train_acc: 1.0000, test_loss: 0.0580, test_acc: 0.9833 
data division: 1/10, epoch: 54/100, train_loss: 0.0055, train_acc: 1.0000, test_loss: 0.0678, test_acc: 0.9833 
data division: 1/10, epoch: 55/100, train_loss: 0.0056, train_acc: 1.0000, test_loss: 0.0745, test_acc: 0.9833 
data division: 1/10, epoch: 56/100, train_loss: 0.0060, train_acc: 1.0000, test_loss: 0.0824, test_acc: 0.9833 
data division: 1/10, epoch: 57/100, train_loss: 0.0055, train_acc: 1.0000, test_loss: 0.0897, test_acc: 0.9833 
data division: 1/10, epoch: 58/100, train_loss: 0.0054, train_acc: 1.0000, test_loss: 0.0738, test_acc: 0.9833 
data division: 1/10, epoch: 59/100, train_loss: 0.0051, train_acc: 1.0000, test_loss: 0.0750, test_acc: 0.9833 
data division: 1/10, epoch: 60/100, train_loss: 0.0052, train_acc: 1.0000, test_loss: 0.0702, test_acc: 0.9833 
data division: 1/10, epoch: 61/100, train_loss: 0.0055, train_acc: 1.0000, test_loss: 0.0692, test_acc: 0.9833 
data division: 1/10, epoch: 62/100, train_loss: 0.0054, train_acc: 1.0000, test_loss: 0.0722, test_acc: 0.9833 
data division: 1/10, epoch: 63/100, train_loss: 0.0058, train_acc: 1.0000, test_loss: 0.0741, test_acc: 0.9833 
data division: 1/10, epoch: 64/100, train_loss: 0.0048, train_acc: 1.0000, test_loss: 0.0693, test_acc: 0.9833 
data division: 1/10, epoch: 65/100, train_loss: 0.0052, train_acc: 1.0000, test_loss: 0.0775, test_acc: 0.9833 
data division: 1/10, epoch: 66/100, train_loss: 0.0052, train_acc: 1.0000, test_loss: 0.0710, test_acc: 0.9833 
data division: 1/10, epoch: 67/100, train_loss: 0.0055, train_acc: 1.0000, test_loss: 0.0768, test_acc: 0.9833 
data division: 1/10, epoch: 68/100, train_loss: 0.0047, train_acc: 1.0000, test_loss: 0.0768, test_acc: 0.9833 
data division: 1/10, epoch: 69/100, train_loss: 0.0053, train_acc: 1.0000, test_loss: 0.0813, test_acc: 0.9833 
data division: 1/10, epoch: 70/100, train_loss: 0.0055, train_acc: 1.0000, test_loss: 0.0769, test_acc: 0.9833 
data division: 1/10, epoch: 71/100, train_loss: 0.0049, train_acc: 1.0000, test_loss: 0.0709, test_acc: 0.9833 
data division: 1/10, epoch: 72/100, train_loss: 0.0051, train_acc: 1.0000, test_loss: 0.0707, test_acc: 0.9833 
data division: 1/10, epoch: 73/100, train_loss: 0.0050, train_acc: 1.0000, test_loss: 0.0747, test_acc: 0.9833 
data division: 1/10, epoch: 74/100, train_loss: 0.0051, train_acc: 1.0000, test_loss: 0.0779, test_acc: 0.9833 
data division: 1/10, epoch: 75/100, train_loss: 0.0052, train_acc: 1.0000, test_loss: 0.0796, test_acc: 0.9833 
data division: 1/10, epoch: 76/100, train_loss: 0.0049, train_acc: 1.0000, test_loss: 0.0735, test_acc: 0.9833 
data division: 1/10, epoch: 77/100, train_loss: 0.0053, train_acc: 1.0000, test_loss: 0.0752, test_acc: 0.9833 
data division: 1/10, epoch: 78/100, train_loss: 0.0048, train_acc: 1.0000, test_loss: 0.0710, test_acc: 0.9833 
data division: 1/10, epoch: 79/100, train_loss: 0.0051, train_acc: 1.0000, test_loss: 0.0697, test_acc: 0.9833 
data division: 1/10, epoch: 80/100, train_loss: 0.0052, train_acc: 1.0000, test_loss: 0.0755, test_acc: 0.9833 
data division: 1/10, epoch: 81/100, train_loss: 0.0052, train_acc: 1.0000, test_loss: 0.0742, test_acc: 0.9833 
data division: 1/10, epoch: 82/100, train_loss: 0.0054, train_acc: 1.0000, test_loss: 0.0772, test_acc: 0.9833 
data division: 1/10, epoch: 83/100, train_loss: 0.0048, train_acc: 1.0000, test_loss: 0.0751, test_acc: 0.9833 
data division: 1/10, epoch: 84/100, train_loss: 0.0049, train_acc: 1.0000, test_loss: 0.0767, test_acc: 0.9833 
data division: 1/10, epoch: 85/100, train_loss: 0.0049, train_acc: 1.0000, test_loss: 0.0746, test_acc: 0.9833 
data division: 1/10, epoch: 86/100, train_loss: 0.0047, train_acc: 1.0000, test_loss: 0.0761, test_acc: 0.9833 
data division: 1/10, epoch: 87/100, train_loss: 0.0054, train_acc: 1.0000, test_loss: 0.0784, test_acc: 0.9833 
data division: 1/10, epoch: 88/100, train_loss: 0.0050, train_acc: 1.0000, test_loss: 0.0811, test_acc: 0.9833 
data division: 1/10, epoch: 89/100, train_loss: 0.0048, train_acc: 1.0000, test_loss: 0.0845, test_acc: 0.9833 
data division: 1/10, epoch: 90/100, train_loss: 0.0048, train_acc: 1.0000, test_loss: 0.0810, test_acc: 0.9833 
data division: 1/10, epoch: 91/100, train_loss: 0.0044, train_acc: 1.0000, test_loss: 0.0813, test_acc: 0.9833 
data division: 1/10, epoch: 92/100, train_loss: 0.0047, train_acc: 1.0000, test_loss: 0.0819, test_acc: 0.9833 
data division: 1/10, epoch: 93/100, train_loss: 0.0048, train_acc: 1.0000, test_loss: 0.0755, test_acc: 0.9833 
data division: 1/10, epoch: 94/100, train_loss: 0.0050, train_acc: 1.0000, test_loss: 0.0766, test_acc: 0.9833 
