data division: 1/10, epoch: 1/100, train_loss: 1.0285, train_acc: 0.7482, test_loss: 0.8575, test_acc: 0.7262 
data division: 1/10, epoch: 2/100, train_loss: 0.4885, train_acc: 0.9279, test_loss: 0.7124, test_acc: 0.7857 
data division: 1/10, epoch: 3/100, train_loss: 0.3636, train_acc: 0.9352, test_loss: 0.2689, test_acc: 0.9167 
data division: 1/10, epoch: 4/100, train_loss: 0.3139, train_acc: 0.9297, test_loss: 0.1579, test_acc: 0.9333 
data division: 1/10, epoch: 5/100, train_loss: 0.2400, train_acc: 0.9494, test_loss: 0.4987, test_acc: 0.7548 
data division: 1/10, epoch: 6/100, train_loss: 0.1932, train_acc: 0.9667, test_loss: 0.2759, test_acc: 0.9024 
data division: 1/10, epoch: 7/100, train_loss: 0.1561, train_acc: 0.9685, test_loss: 1.1734, test_acc: 0.7238 
data division: 1/10, epoch: 8/100, train_loss: 0.1745, train_acc: 0.9682, test_loss: 0.3626, test_acc: 0.8524 
data division: 1/10, epoch: 9/100, train_loss: 0.1813, train_acc: 0.9531, test_loss: 0.4248, test_acc: 0.8690 
data division: 1/10, epoch: 10/100, train_loss: 0.1618, train_acc: 0.9737, test_loss: 0.6354, test_acc: 0.8405 
data division: 1/10, epoch: 11/100, train_loss: 0.1245, train_acc: 0.9873, test_loss: 2.0678, test_acc: 0.8524 
data division: 1/10, epoch: 12/100, train_loss: 0.1058, train_acc: 0.9830, test_loss: 1.2201, test_acc: 0.8857 
data division: 1/10, epoch: 13/100, train_loss: 0.1133, train_acc: 0.9836, test_loss: 0.1778, test_acc: 0.9500 
data division: 1/10, epoch: 14/100, train_loss: 0.1556, train_acc: 0.9791, test_loss: 2.1283, test_acc: 0.7405 
data division: 1/10, epoch: 15/100, train_loss: 0.1608, train_acc: 0.9721, test_loss: 1.6743, test_acc: 0.7071 
data division: 1/10, epoch: 16/100, train_loss: 0.1188, train_acc: 0.9782, test_loss: 1.3502, test_acc: 0.8190 
data division: 1/10, epoch: 17/100, train_loss: 0.0963, train_acc: 0.9815, test_loss: 0.3985, test_acc: 0.8857 
data division: 1/10, epoch: 18/100, train_loss: 0.0792, train_acc: 0.9924, test_loss: 0.2653, test_acc: 0.9357 
data division: 1/10, epoch: 19/100, train_loss: 0.0749, train_acc: 0.9870, test_loss: 1.2122, test_acc: 0.7905 
data division: 1/10, epoch: 20/100, train_loss: 0.0766, train_acc: 0.9927, test_loss: 0.1067, test_acc: 0.9667 
data division: 1/10, epoch: 21/100, train_loss: 0.0618, train_acc: 0.9945, test_loss: 0.2641, test_acc: 0.9167 
data division: 1/10, epoch: 22/100, train_loss: 0.0414, train_acc: 0.9982, test_loss: 0.1454, test_acc: 0.9167 
data division: 1/10, epoch: 23/100, train_loss: 0.0369, train_acc: 0.9982, test_loss: 0.1330, test_acc: 0.9333 
data division: 1/10, epoch: 24/100, train_loss: 0.0243, train_acc: 0.9982, test_loss: 0.0325, test_acc: 0.9833 
data division: 1/10, epoch: 25/100, train_loss: 0.0238, train_acc: 0.9982, test_loss: 0.0964, test_acc: 0.9833 
data division: 1/10, epoch: 26/100, train_loss: 0.0192, train_acc: 0.9982, test_loss: 0.0742, test_acc: 0.9833 
data division: 1/10, epoch: 27/100, train_loss: 0.0155, train_acc: 1.0000, test_loss: 0.0665, test_acc: 0.9667 
data division: 1/10, epoch: 28/100, train_loss: 0.0168, train_acc: 0.9982, test_loss: 0.0603, test_acc: 0.9667 
data division: 1/10, epoch: 29/100, train_loss: 0.0122, train_acc: 1.0000, test_loss: 0.0266, test_acc: 1.0000 
data division: 1/10, epoch: 30/100, train_loss: 0.0105, train_acc: 0.9982, test_loss: 0.0305, test_acc: 0.9833 
data division: 1/10, epoch: 31/100, train_loss: 0.0082, train_acc: 1.0000, test_loss: 0.0174, test_acc: 1.0000 
data division: 1/10, epoch: 32/100, train_loss: 0.0069, train_acc: 1.0000, test_loss: 0.0145, test_acc: 1.0000 
data division: 1/10, epoch: 33/100, train_loss: 0.0068, train_acc: 1.0000, test_loss: 0.0160, test_acc: 1.0000 
data division: 1/10, epoch: 34/100, train_loss: 0.0068, train_acc: 1.0000, test_loss: 0.0164, test_acc: 1.0000 
data division: 1/10, epoch: 35/100, train_loss: 0.0068, train_acc: 1.0000, test_loss: 0.0152, test_acc: 1.0000 
data division: 1/10, epoch: 36/100, train_loss: 0.0069, train_acc: 1.0000, test_loss: 0.0174, test_acc: 1.0000 
data division: 1/10, epoch: 37/100, train_loss: 0.0070, train_acc: 1.0000, test_loss: 0.0161, test_acc: 1.0000 
data division: 1/10, epoch: 38/100, train_loss: 0.0065, train_acc: 1.0000, test_loss: 0.0139, test_acc: 1.0000 
data division: 1/10, epoch: 39/100, train_loss: 0.0063, train_acc: 1.0000, test_loss: 0.0124, test_acc: 1.0000 
data division: 1/10, epoch: 40/100, train_loss: 0.0063, train_acc: 1.0000, test_loss: 0.0143, test_acc: 1.0000 
data division: 1/10, epoch: 41/100, train_loss: 0.0063, train_acc: 1.0000, test_loss: 0.0102, test_acc: 1.0000 
data division: 1/10, epoch: 42/100, train_loss: 0.0062, train_acc: 1.0000, test_loss: 0.0112, test_acc: 1.0000 
data division: 1/10, epoch: 43/100, train_loss: 0.0065, train_acc: 1.0000, test_loss: 0.0142, test_acc: 1.0000 
data division: 1/10, epoch: 44/100, train_loss: 0.0065, train_acc: 1.0000, test_loss: 0.0165, test_acc: 1.0000 
data division: 1/10, epoch: 45/100, train_loss: 0.0062, train_acc: 1.0000, test_loss: 0.0116, test_acc: 1.0000 
data division: 1/10, epoch: 46/100, train_loss: 0.0060, train_acc: 1.0000, test_loss: 0.0118, test_acc: 1.0000 
data division: 1/10, epoch: 47/100, train_loss: 0.0056, train_acc: 1.0000, test_loss: 0.0110, test_acc: 1.0000 
data division: 1/10, epoch: 48/100, train_loss: 0.0055, train_acc: 1.0000, test_loss: 0.0130, test_acc: 1.0000 
data division: 1/10, epoch: 49/100, train_loss: 0.0058, train_acc: 1.0000, test_loss: 0.0104, test_acc: 1.0000 
data division: 1/10, epoch: 50/100, train_loss: 0.0054, train_acc: 1.0000, test_loss: 0.0109, test_acc: 1.0000 
data division: 1/10, epoch: 51/100, train_loss: 0.0054, train_acc: 1.0000, test_loss: 0.0128, test_acc: 1.0000 
data division: 1/10, epoch: 52/100, train_loss: 0.0054, train_acc: 1.0000, test_loss: 0.0107, test_acc: 1.0000 
data division: 1/10, epoch: 53/100, train_loss: 0.0048, train_acc: 1.0000, test_loss: 0.0115, test_acc: 1.0000 
data division: 1/10, epoch: 54/100, train_loss: 0.0053, train_acc: 1.0000, test_loss: 0.0122, test_acc: 1.0000 
data division: 1/10, epoch: 55/100, train_loss: 0.0055, train_acc: 1.0000, test_loss: 0.0107, test_acc: 1.0000 
data division: 1/10, epoch: 56/100, train_loss: 0.0050, train_acc: 1.0000, test_loss: 0.0084, test_acc: 1.0000 
data division: 1/10, epoch: 57/100, train_loss: 0.0046, train_acc: 1.0000, test_loss: 0.0091, test_acc: 1.0000 
data division: 1/10, epoch: 58/100, train_loss: 0.0053, train_acc: 1.0000, test_loss: 0.0129, test_acc: 1.0000 
data division: 1/10, epoch: 59/100, train_loss: 0.0048, train_acc: 1.0000, test_loss: 0.0106, test_acc: 1.0000 
data division: 1/10, epoch: 60/100, train_loss: 0.0052, train_acc: 1.0000, test_loss: 0.0113, test_acc: 1.0000 
data division: 1/10, epoch: 61/100, train_loss: 0.0051, train_acc: 1.0000, test_loss: 0.0110, test_acc: 1.0000 
data division: 1/10, epoch: 62/100, train_loss: 0.0054, train_acc: 1.0000, test_loss: 0.0110, test_acc: 1.0000 
data division: 1/10, epoch: 63/100, train_loss: 0.0050, train_acc: 1.0000, test_loss: 0.0106, test_acc: 1.0000 
data division: 1/10, epoch: 64/100, train_loss: 0.0054, train_acc: 1.0000, test_loss: 0.0109, test_acc: 1.0000 
data division: 1/10, epoch: 65/100, train_loss: 0.0047, train_acc: 1.0000, test_loss: 0.0103, test_acc: 1.0000 
data division: 1/10, epoch: 66/100, train_loss: 0.0053, train_acc: 1.0000, test_loss: 0.0111, test_acc: 1.0000 
data division: 1/10, epoch: 67/100, train_loss: 0.0050, train_acc: 1.0000, test_loss: 0.0104, test_acc: 1.0000 
data division: 1/10, epoch: 68/100, train_loss: 0.0047, train_acc: 1.0000, test_loss: 0.0098, test_acc: 1.0000 
data division: 1/10, epoch: 69/100, train_loss: 0.0055, train_acc: 1.0000, test_loss: 0.0107, test_acc: 1.0000 
data division: 1/10, epoch: 70/100, train_loss: 0.0051, train_acc: 1.0000, test_loss: 0.0106, test_acc: 1.0000 
data division: 1/10, epoch: 71/100, train_loss: 0.0049, train_acc: 1.0000, test_loss: 0.0087, test_acc: 1.0000 
data division: 1/10, epoch: 72/100, train_loss: 0.0049, train_acc: 1.0000, test_loss: 0.0098, test_acc: 1.0000 
data division: 1/10, epoch: 73/100, train_loss: 0.0047, train_acc: 1.0000, test_loss: 0.0106, test_acc: 1.0000 
data division: 1/10, epoch: 74/100, train_loss: 0.0052, train_acc: 1.0000, test_loss: 0.0101, test_acc: 1.0000 
data division: 1/10, epoch: 75/100, train_loss: 0.0052, train_acc: 1.0000, test_loss: 0.0110, test_acc: 1.0000 
data division: 1/10, epoch: 76/100, train_loss: 0.0048, train_acc: 1.0000, test_loss: 0.0102, test_acc: 1.0000 
data division: 1/10, epoch: 77/100, train_loss: 0.0050, train_acc: 1.0000, test_loss: 0.0106, test_acc: 1.0000 
data division: 1/10, epoch: 78/100, train_loss: 0.0049, train_acc: 1.0000, test_loss: 0.0102, test_acc: 1.0000 
data division: 1/10, epoch: 79/100, train_loss: 0.0052, train_acc: 1.0000, test_loss: 0.0100, test_acc: 1.0000 
data division: 1/10, epoch: 80/100, train_loss: 0.0049, train_acc: 1.0000, test_loss: 0.0099, test_acc: 1.0000 
data division: 1/10, epoch: 81/100, train_loss: 0.0049, train_acc: 1.0000, test_loss: 0.0102, test_acc: 1.0000 
data division: 1/10, epoch: 82/100, train_loss: 0.0047, train_acc: 1.0000, test_loss: 0.0104, test_acc: 1.0000 
data division: 1/10, epoch: 83/100, train_loss: 0.0050, train_acc: 1.0000, test_loss: 0.0101, test_acc: 1.0000 
data division: 1/10, epoch: 84/100, train_loss: 0.0046, train_acc: 1.0000, test_loss: 0.0099, test_acc: 1.0000 
data division: 1/10, epoch: 85/100, train_loss: 0.0044, train_acc: 1.0000, test_loss: 0.0091, test_acc: 1.0000 
data division: 1/10, epoch: 86/100, train_loss: 0.0050, train_acc: 1.0000, test_loss: 0.0095, test_acc: 1.0000 
data division: 1/10, epoch: 87/100, train_loss: 0.0049, train_acc: 1.0000, test_loss: 0.0093, test_acc: 1.0000 
data division: 1/10, epoch: 88/100, train_loss: 0.0050, train_acc: 1.0000, test_loss: 0.0094, test_acc: 1.0000 
data division: 1/10, epoch: 89/100, train_loss: 0.0045, train_acc: 1.0000, test_loss: 0.0099, test_acc: 1.0000 
data division: 1/10, epoch: 90/100, train_loss: 0.0050, train_acc: 1.0000, test_loss: 0.0099, test_acc: 1.0000 
data division: 1/10, epoch: 91/100, train_loss: 0.0046, train_acc: 1.0000, test_loss: 0.0098, test_acc: 1.0000 
data division: 1/10, epoch: 92/100, train_loss: 0.0047, train_acc: 1.0000, test_loss: 0.0095, test_acc: 1.0000 
data division: 1/10, epoch: 93/100, train_loss: 0.0048, train_acc: 1.0000, test_loss: 0.0092, test_acc: 1.0000 
data division: 1/10, epoch: 94/100, train_loss: 0.0048, train_acc: 1.0000, test_loss: 0.0098, test_acc: 1.0000 
data division: 1/10, epoch: 95/100, train_loss: 0.0042, train_acc: 1.0000, test_loss: 0.0091, test_acc: 1.0000 
data division: 1/10, epoch: 96/100, train_loss: 0.0048, train_acc: 1.0000, test_loss: 0.0101, test_acc: 1.0000 
data division: 1/10, epoch: 97/100, train_loss: 0.0047, train_acc: 1.0000, test_loss: 0.0094, test_acc: 1.0000 
data division: 1/10, epoch: 98/100, train_loss: 0.0048, train_acc: 1.0000, test_loss: 0.0094, test_acc: 1.0000 
data division: 1/10, epoch: 99/100, train_loss: 0.0045, train_acc: 1.0000, test_loss: 0.0095, test_acc: 1.0000 
data division: 1/10, epoch: 100/100, train_loss: 0.0045, train_acc: 1.0000, test_loss: 0.0089, test_acc: 1.0000 
data division: 2/10, epoch: 1/100, train_loss: 0.0205, train_acc: 0.9945, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 2/100, train_loss: 0.0208, train_acc: 0.9945, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 3/100, train_loss: 0.0189, train_acc: 0.9927, test_loss: 0.0015, test_acc: 1.0000 
data division: 2/10, epoch: 4/100, train_loss: 0.0218, train_acc: 0.9891, test_loss: 0.0015, test_acc: 1.0000 
data division: 2/10, epoch: 5/100, train_loss: 0.0194, train_acc: 0.9945, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 6/100, train_loss: 0.0186, train_acc: 0.9927, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 7/100, train_loss: 0.0195, train_acc: 0.9927, test_loss: 0.0015, test_acc: 1.0000 
data division: 2/10, epoch: 8/100, train_loss: 0.0156, train_acc: 0.9964, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 9/100, train_loss: 0.0180, train_acc: 0.9927, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 10/100, train_loss: 0.0188, train_acc: 0.9945, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 11/100, train_loss: 0.0189, train_acc: 0.9927, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 12/100, train_loss: 0.0178, train_acc: 0.9945, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 13/100, train_loss: 0.0160, train_acc: 0.9945, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 14/100, train_loss: 0.0187, train_acc: 0.9927, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 15/100, train_loss: 0.0162, train_acc: 0.9945, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 16/100, train_loss: 0.0167, train_acc: 0.9927, test_loss: 0.0015, test_acc: 1.0000 
data division: 2/10, epoch: 17/100, train_loss: 0.0169, train_acc: 0.9909, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 18/100, train_loss: 0.0164, train_acc: 0.9927, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 19/100, train_loss: 0.0160, train_acc: 0.9927, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 20/100, train_loss: 0.0162, train_acc: 0.9964, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 21/100, train_loss: 0.0190, train_acc: 0.9909, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 22/100, train_loss: 0.0161, train_acc: 0.9945, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 23/100, train_loss: 0.0169, train_acc: 0.9927, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 24/100, train_loss: 0.0168, train_acc: 0.9964, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 25/100, train_loss: 0.0136, train_acc: 0.9982, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 26/100, train_loss: 0.0143, train_acc: 0.9964, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 27/100, train_loss: 0.0146, train_acc: 0.9982, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 28/100, train_loss: 0.0159, train_acc: 0.9964, test_loss: 0.0016, test_acc: 1.0000 
data division: 2/10, epoch: 29/100, train_loss: 0.0155, train_acc: 1.0000, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 30/100, train_loss: 0.0169, train_acc: 0.9964, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 31/100, train_loss: 0.0155, train_acc: 0.9945, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 32/100, train_loss: 0.0174, train_acc: 0.9945, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 33/100, train_loss: 0.0155, train_acc: 0.9945, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 34/100, train_loss: 0.0150, train_acc: 0.9964, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 35/100, train_loss: 0.0179, train_acc: 0.9927, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 36/100, train_loss: 0.0153, train_acc: 0.9982, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 37/100, train_loss: 0.0173, train_acc: 0.9927, test_loss: 0.0018, test_acc: 1.0000 
data division: 2/10, epoch: 38/100, train_loss: 0.0134, train_acc: 0.9982, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 39/100, train_loss: 0.0133, train_acc: 1.0000, test_loss: 0.0018, test_acc: 1.0000 
data division: 2/10, epoch: 40/100, train_loss: 0.0139, train_acc: 0.9982, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 41/100, train_loss: 0.0136, train_acc: 1.0000, test_loss: 0.0018, test_acc: 1.0000 
data division: 2/10, epoch: 42/100, train_loss: 0.0159, train_acc: 0.9982, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 43/100, train_loss: 0.0161, train_acc: 0.9927, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 44/100, train_loss: 0.0137, train_acc: 0.9982, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 45/100, train_loss: 0.0143, train_acc: 0.9982, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 46/100, train_loss: 0.0148, train_acc: 0.9982, test_loss: 0.0018, test_acc: 1.0000 
data division: 2/10, epoch: 47/100, train_loss: 0.0155, train_acc: 0.9982, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 48/100, train_loss: 0.0167, train_acc: 0.9927, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 49/100, train_loss: 0.0160, train_acc: 0.9945, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 50/100, train_loss: 0.0153, train_acc: 0.9964, test_loss: 0.0018, test_acc: 1.0000 
data division: 2/10, epoch: 51/100, train_loss: 0.0162, train_acc: 0.9964, test_loss: 0.0018, test_acc: 1.0000 
data division: 2/10, epoch: 52/100, train_loss: 0.0130, train_acc: 0.9982, test_loss: 0.0018, test_acc: 1.0000 
data division: 2/10, epoch: 53/100, train_loss: 0.0131, train_acc: 1.0000, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 54/100, train_loss: 0.0132, train_acc: 1.0000, test_loss: 0.0018, test_acc: 1.0000 
data division: 2/10, epoch: 55/100, train_loss: 0.0140, train_acc: 0.9982, test_loss: 0.0018, test_acc: 1.0000 
data division: 2/10, epoch: 56/100, train_loss: 0.0156, train_acc: 0.9945, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 57/100, train_loss: 0.0126, train_acc: 1.0000, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 58/100, train_loss: 0.0158, train_acc: 0.9964, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 59/100, train_loss: 0.0148, train_acc: 0.9964, test_loss: 0.0018, test_acc: 1.0000 
data division: 2/10, epoch: 60/100, train_loss: 0.0156, train_acc: 0.9964, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 61/100, train_loss: 0.0155, train_acc: 0.9927, test_loss: 0.0017, test_acc: 1.0000 
data division: 2/10, epoch: 62/100, train_loss: 0.0125, train_acc: 1.0000, test_loss: 0.0018, test_acc: 1.0000 
data division: 2/10, epoch: 63/100, train_loss: 0.0140, train_acc: 1.0000, test_loss: 0.0017, test_acc: 1.0000 
