data division: 1/10, epoch: 1/100, train_loss: 1.1898, train_acc: 0.6934, test_loss: 0.8275, test_acc: 0.6405 
data division: 1/10, epoch: 2/100, train_loss: 0.4235, train_acc: 0.9173, test_loss: 0.7100, test_acc: 0.7738 
data division: 1/10, epoch: 3/100, train_loss: 0.2837, train_acc: 0.9485, test_loss: 0.6307, test_acc: 0.8690 
data division: 1/10, epoch: 4/100, train_loss: 0.2267, train_acc: 0.9652, test_loss: 0.3938, test_acc: 0.8833 
data division: 1/10, epoch: 5/100, train_loss: 0.1676, train_acc: 0.9764, test_loss: 0.5253, test_acc: 0.8190 
data division: 1/10, epoch: 6/100, train_loss: 0.1441, train_acc: 0.9800, test_loss: 0.1823, test_acc: 0.9333 
data division: 1/10, epoch: 7/100, train_loss: 0.1208, train_acc: 0.9891, test_loss: 0.1477, test_acc: 0.9500 
data division: 1/10, epoch: 8/100, train_loss: 0.1013, train_acc: 0.9945, test_loss: 0.3976, test_acc: 0.8167 
data division: 1/10, epoch: 9/100, train_loss: 0.0922, train_acc: 0.9873, test_loss: 0.0970, test_acc: 0.9667 
data division: 1/10, epoch: 10/100, train_loss: 0.0708, train_acc: 0.9945, test_loss: 0.1074, test_acc: 0.9500 
data division: 1/10, epoch: 11/100, train_loss: 0.0632, train_acc: 0.9909, test_loss: 0.4619, test_acc: 0.9190 
data division: 1/10, epoch: 12/100, train_loss: 0.0674, train_acc: 0.9945, test_loss: 0.3034, test_acc: 0.8333 
data division: 1/10, epoch: 13/100, train_loss: 0.0577, train_acc: 0.9964, test_loss: 0.2851, test_acc: 0.9167 
data division: 1/10, epoch: 14/100, train_loss: 0.0599, train_acc: 0.9945, test_loss: 0.1404, test_acc: 0.9333 
data division: 1/10, epoch: 15/100, train_loss: 0.0842, train_acc: 0.9945, test_loss: 0.1455, test_acc: 0.9500 
data division: 1/10, epoch: 16/100, train_loss: 0.0701, train_acc: 0.9964, test_loss: 0.1523, test_acc: 0.9333 
data division: 1/10, epoch: 17/100, train_loss: 0.0758, train_acc: 0.9903, test_loss: 0.5562, test_acc: 0.7833 
data division: 1/10, epoch: 18/100, train_loss: 0.0986, train_acc: 0.9924, test_loss: 0.1901, test_acc: 0.9500 
data division: 1/10, epoch: 19/100, train_loss: 0.0687, train_acc: 0.9964, test_loss: 0.2472, test_acc: 0.8833 
data division: 1/10, epoch: 20/100, train_loss: 0.0656, train_acc: 0.9964, test_loss: 0.0897, test_acc: 0.9500 
data division: 1/10, epoch: 21/100, train_loss: 0.0624, train_acc: 0.9964, test_loss: 0.5965, test_acc: 0.8524 
data division: 1/10, epoch: 22/100, train_loss: 0.0469, train_acc: 0.9964, test_loss: 0.0807, test_acc: 0.9667 
data division: 1/10, epoch: 23/100, train_loss: 0.0397, train_acc: 0.9982, test_loss: 0.2701, test_acc: 0.9000 
data division: 1/10, epoch: 24/100, train_loss: 0.0349, train_acc: 0.9982, test_loss: 0.0492, test_acc: 0.9667 
data division: 1/10, epoch: 25/100, train_loss: 0.0324, train_acc: 0.9982, test_loss: 0.0113, test_acc: 1.0000 
data division: 1/10, epoch: 26/100, train_loss: 0.0267, train_acc: 0.9964, test_loss: 0.2097, test_acc: 0.9357 
data division: 1/10, epoch: 27/100, train_loss: 0.0235, train_acc: 0.9982, test_loss: 0.2124, test_acc: 0.9333 
data division: 1/10, epoch: 28/100, train_loss: 0.0315, train_acc: 0.9982, test_loss: 1.4809, test_acc: 0.8024 
data division: 1/10, epoch: 29/100, train_loss: 0.0263, train_acc: 0.9982, test_loss: 0.1663, test_acc: 0.9333 
data division: 1/10, epoch: 30/100, train_loss: 0.0190, train_acc: 0.9982, test_loss: 0.0157, test_acc: 1.0000 
data division: 1/10, epoch: 31/100, train_loss: 0.0103, train_acc: 0.9982, test_loss: 0.0193, test_acc: 0.9833 
data division: 1/10, epoch: 32/100, train_loss: 0.0086, train_acc: 0.9982, test_loss: 0.0187, test_acc: 0.9833 
data division: 1/10, epoch: 33/100, train_loss: 0.0092, train_acc: 0.9982, test_loss: 0.0181, test_acc: 0.9833 
data division: 1/10, epoch: 34/100, train_loss: 0.0092, train_acc: 1.0000, test_loss: 0.0157, test_acc: 1.0000 
data division: 1/10, epoch: 35/100, train_loss: 0.0086, train_acc: 0.9982, test_loss: 0.0156, test_acc: 1.0000 
data division: 1/10, epoch: 36/100, train_loss: 0.0087, train_acc: 0.9982, test_loss: 0.0145, test_acc: 1.0000 
data division: 1/10, epoch: 37/100, train_loss: 0.0083, train_acc: 0.9982, test_loss: 0.0153, test_acc: 1.0000 
data division: 1/10, epoch: 38/100, train_loss: 0.0078, train_acc: 0.9982, test_loss: 0.0166, test_acc: 0.9833 
data division: 1/10, epoch: 39/100, train_loss: 0.0074, train_acc: 0.9982, test_loss: 0.0154, test_acc: 1.0000 
data division: 1/10, epoch: 40/100, train_loss: 0.0072, train_acc: 1.0000, test_loss: 0.0151, test_acc: 1.0000 
