data division: 0/10, epoch: 1/100, train_loss: 0.9561, train_acc: 0.7518, test_loss: 0.9753, test_acc: 0.5714 
data division: 0/10, epoch: 2/100, train_loss: 0.4442, train_acc: 0.8991, test_loss: 0.5748, test_acc: 0.7524 
data division: 0/10, epoch: 3/100, train_loss: 0.3651, train_acc: 0.9218, test_loss: 0.3871, test_acc: 0.8857 
data division: 0/10, epoch: 4/100, train_loss: 0.2992, train_acc: 0.9345, test_loss: 0.3352, test_acc: 0.9000 
data division: 0/10, epoch: 5/100, train_loss: 0.2610, train_acc: 0.9509, test_loss: 0.2963, test_acc: 0.9000 
data division: 0/10, epoch: 6/100, train_loss: 0.2105, train_acc: 0.9618, test_loss: 0.3057, test_acc: 0.8833 
data division: 0/10, epoch: 7/100, train_loss: 0.1859, train_acc: 0.9618, test_loss: 0.5715, test_acc: 0.8333 
data division: 0/10, epoch: 8/100, train_loss: 0.1757, train_acc: 0.9673, test_loss: 0.2148, test_acc: 0.9167 
data division: 0/10, epoch: 9/100, train_loss: 0.1480, train_acc: 0.9727, test_loss: 0.2774, test_acc: 0.8833 
data division: 0/10, epoch: 10/100, train_loss: 0.1178, train_acc: 0.9818, test_loss: 0.1891, test_acc: 0.9333 
data division: 0/10, epoch: 11/100, train_loss: 0.1080, train_acc: 0.9836, test_loss: 0.4763, test_acc: 0.7857 
data division: 0/10, epoch: 12/100, train_loss: 0.1117, train_acc: 0.9836, test_loss: 0.2494, test_acc: 0.9000 
data division: 0/10, epoch: 13/100, train_loss: 0.1144, train_acc: 0.9873, test_loss: 0.2457, test_acc: 0.9167 
data division: 0/10, epoch: 14/100, train_loss: 0.1221, train_acc: 0.9836, test_loss: 0.3416, test_acc: 0.9333 
data division: 0/10, epoch: 15/100, train_loss: 0.0908, train_acc: 0.9891, test_loss: 0.3549, test_acc: 0.8500 
data division: 0/10, epoch: 16/100, train_loss: 0.1100, train_acc: 0.9818, test_loss: 0.3483, test_acc: 0.9167 
data division: 0/10, epoch: 17/100, train_loss: 0.0935, train_acc: 0.9909, test_loss: 0.5799, test_acc: 0.7690 
data division: 0/10, epoch: 18/100, train_loss: 0.0963, train_acc: 0.9891, test_loss: 0.2316, test_acc: 0.9167 
data division: 0/10, epoch: 19/100, train_loss: 0.0772, train_acc: 0.9891, test_loss: 0.0745, test_acc: 0.9833 
data division: 0/10, epoch: 20/100, train_loss: 0.0662, train_acc: 0.9945, test_loss: 0.1445, test_acc: 0.9333 
data division: 0/10, epoch: 21/100, train_loss: 0.0540, train_acc: 0.9982, test_loss: 0.0514, test_acc: 0.9833 
data division: 0/10, epoch: 22/100, train_loss: 0.0662, train_acc: 0.9927, test_loss: 0.1449, test_acc: 0.9167 
data division: 0/10, epoch: 23/100, train_loss: 0.0376, train_acc: 0.9964, test_loss: 0.0395, test_acc: 0.9833 
data division: 0/10, epoch: 24/100, train_loss: 0.0348, train_acc: 0.9982, test_loss: 0.6440, test_acc: 0.8024 
data division: 0/10, epoch: 25/100, train_loss: 0.0410, train_acc: 0.9982, test_loss: 0.0674, test_acc: 0.9667 
data division: 0/10, epoch: 26/100, train_loss: 0.0375, train_acc: 0.9964, test_loss: 0.2146, test_acc: 0.9333 
data division: 0/10, epoch: 27/100, train_loss: 0.0624, train_acc: 0.9927, test_loss: 2.0058, test_acc: 0.6024 
data division: 0/10, epoch: 28/100, train_loss: 0.0758, train_acc: 0.9873, test_loss: 0.4859, test_acc: 0.8667 
data division: 0/10, epoch: 29/100, train_loss: 0.0502, train_acc: 0.9964, test_loss: 0.0797, test_acc: 0.9667 
data division: 0/10, epoch: 30/100, train_loss: 0.0334, train_acc: 0.9891, test_loss: 0.0514, test_acc: 0.9667 
data division: 0/10, epoch: 31/100, train_loss: 0.0219, train_acc: 0.9964, test_loss: 0.0336, test_acc: 1.0000 
data division: 0/10, epoch: 32/100, train_loss: 0.0184, train_acc: 0.9982, test_loss: 0.0298, test_acc: 1.0000 
data division: 0/10, epoch: 33/100, train_loss: 0.0187, train_acc: 0.9982, test_loss: 0.0295, test_acc: 1.0000 
data division: 0/10, epoch: 34/100, train_loss: 0.0158, train_acc: 0.9982, test_loss: 0.0297, test_acc: 1.0000 
data division: 0/10, epoch: 35/100, train_loss: 0.0153, train_acc: 0.9982, test_loss: 0.0276, test_acc: 1.0000 
data division: 0/10, epoch: 36/100, train_loss: 0.0147, train_acc: 0.9982, test_loss: 0.0255, test_acc: 1.0000 
data division: 0/10, epoch: 37/100, train_loss: 0.0149, train_acc: 0.9982, test_loss: 0.0232, test_acc: 1.0000 
data division: 0/10, epoch: 38/100, train_loss: 0.0145, train_acc: 0.9982, test_loss: 0.0230, test_acc: 1.0000 
data division: 0/10, epoch: 39/100, train_loss: 0.0139, train_acc: 0.9982, test_loss: 0.0223, test_acc: 1.0000 
data division: 0/10, epoch: 40/100, train_loss: 0.0128, train_acc: 0.9982, test_loss: 0.0213, test_acc: 1.0000 
data division: 0/10, epoch: 41/100, train_loss: 0.0126, train_acc: 0.9982, test_loss: 0.0203, test_acc: 1.0000 
