data division: 1/10, epoch: 1/100, train_loss: 1.0176, train_acc: 0.6982, test_loss: 2.4038, test_acc: 0.5714 
data division: 1/10, epoch: 2/100, train_loss: 0.6403, train_acc: 0.8370, test_loss: 2.8829, test_acc: 0.6357 
data division: 1/10, epoch: 3/100, train_loss: 0.4669, train_acc: 0.9212, test_loss: 1.3325, test_acc: 0.7357 
data division: 1/10, epoch: 4/100, train_loss: 0.3529, train_acc: 0.9452, test_loss: 0.7092, test_acc: 0.8333 
data division: 1/10, epoch: 5/100, train_loss: 0.2773, train_acc: 0.9503, test_loss: 1.3730, test_acc: 0.7667 
data division: 1/10, epoch: 6/100, train_loss: 0.2389, train_acc: 0.9576, test_loss: 0.6992, test_acc: 0.8167 
data division: 1/10, epoch: 7/100, train_loss: 0.2258, train_acc: 0.9688, test_loss: 1.1015, test_acc: 0.7833 
data division: 1/10, epoch: 8/100, train_loss: 0.2128, train_acc: 0.9667, test_loss: 0.5586, test_acc: 0.8333 
data division: 1/10, epoch: 9/100, train_loss: 0.1773, train_acc: 0.9649, test_loss: 0.3613, test_acc: 0.8667 
data division: 1/10, epoch: 10/100, train_loss: 0.1549, train_acc: 0.9724, test_loss: 0.4306, test_acc: 0.8333 
data division: 1/10, epoch: 11/100, train_loss: 0.1178, train_acc: 0.9833, test_loss: 0.1768, test_acc: 0.9167 
data division: 1/10, epoch: 12/100, train_loss: 0.1113, train_acc: 0.9797, test_loss: 1.4334, test_acc: 0.8190 
data division: 1/10, epoch: 13/100, train_loss: 0.0840, train_acc: 0.9927, test_loss: 0.7474, test_acc: 0.8500 
data division: 1/10, epoch: 14/100, train_loss: 0.0659, train_acc: 0.9964, test_loss: 0.3674, test_acc: 0.8833 
data division: 1/10, epoch: 15/100, train_loss: 0.1494, train_acc: 0.9667, test_loss: 1.6153, test_acc: 0.7833 
data division: 1/10, epoch: 16/100, train_loss: 0.1942, train_acc: 0.9667, test_loss: 1.8407, test_acc: 0.7857 
data division: 1/10, epoch: 17/100, train_loss: 0.1667, train_acc: 0.9764, test_loss: 0.2065, test_acc: 0.9000 
data division: 1/10, epoch: 18/100, train_loss: 0.1029, train_acc: 0.9852, test_loss: 1.1704, test_acc: 0.8667 
data division: 1/10, epoch: 19/100, train_loss: 0.0809, train_acc: 0.9891, test_loss: 1.1597, test_acc: 0.8833 
data division: 1/10, epoch: 20/100, train_loss: 0.0610, train_acc: 0.9964, test_loss: 0.4769, test_acc: 0.8833 
data division: 1/10, epoch: 21/100, train_loss: 0.0498, train_acc: 0.9982, test_loss: 0.1941, test_acc: 0.9333 
data division: 1/10, epoch: 22/100, train_loss: 0.0642, train_acc: 0.9927, test_loss: 0.5587, test_acc: 0.8833 
data division: 1/10, epoch: 23/100, train_loss: 0.0514, train_acc: 0.9964, test_loss: 0.0575, test_acc: 0.9833 
data division: 1/10, epoch: 24/100, train_loss: 0.0464, train_acc: 0.9982, test_loss: 0.3731, test_acc: 0.8857 
data division: 1/10, epoch: 25/100, train_loss: 0.0322, train_acc: 1.0000, test_loss: 0.2887, test_acc: 0.8690 
data division: 1/10, epoch: 26/100, train_loss: 0.0239, train_acc: 1.0000, test_loss: 0.5097, test_acc: 0.9000 
data division: 1/10, epoch: 27/100, train_loss: 0.0212, train_acc: 1.0000, test_loss: 0.1562, test_acc: 0.9500 
data division: 1/10, epoch: 28/100, train_loss: 0.0170, train_acc: 1.0000, test_loss: 0.0789, test_acc: 0.9833 
data division: 1/10, epoch: 29/100, train_loss: 0.0116, train_acc: 1.0000, test_loss: 0.0702, test_acc: 0.9833 
data division: 1/10, epoch: 30/100, train_loss: 0.0090, train_acc: 1.0000, test_loss: 0.0221, test_acc: 1.0000 
data division: 1/10, epoch: 31/100, train_loss: 0.0080, train_acc: 1.0000, test_loss: 0.0347, test_acc: 1.0000 
data division: 1/10, epoch: 32/100, train_loss: 0.0071, train_acc: 1.0000, test_loss: 0.0290, test_acc: 1.0000 
data division: 1/10, epoch: 33/100, train_loss: 0.0068, train_acc: 1.0000, test_loss: 0.0219, test_acc: 1.0000 
data division: 1/10, epoch: 34/100, train_loss: 0.0069, train_acc: 1.0000, test_loss: 0.0194, test_acc: 1.0000 
data division: 1/10, epoch: 35/100, train_loss: 0.0064, train_acc: 1.0000, test_loss: 0.0158, test_acc: 1.0000 
data division: 1/10, epoch: 36/100, train_loss: 0.0066, train_acc: 1.0000, test_loss: 0.0174, test_acc: 1.0000 
data division: 1/10, epoch: 37/100, train_loss: 0.0060, train_acc: 1.0000, test_loss: 0.0155, test_acc: 1.0000 
data division: 1/10, epoch: 38/100, train_loss: 0.0055, train_acc: 1.0000, test_loss: 0.0213, test_acc: 1.0000 
data division: 1/10, epoch: 39/100, train_loss: 0.0066, train_acc: 1.0000, test_loss: 0.0168, test_acc: 1.0000 
data division: 1/10, epoch: 40/100, train_loss: 0.0058, train_acc: 1.0000, test_loss: 0.0152, test_acc: 1.0000 
data division: 1/10, epoch: 41/100, train_loss: 0.0057, train_acc: 1.0000, test_loss: 0.0133, test_acc: 1.0000 
data division: 1/10, epoch: 42/100, train_loss: 0.0057, train_acc: 1.0000, test_loss: 0.0179, test_acc: 1.0000 
data division: 1/10, epoch: 43/100, train_loss: 0.0053, train_acc: 1.0000, test_loss: 0.0169, test_acc: 1.0000 
data division: 1/10, epoch: 44/100, train_loss: 0.0062, train_acc: 1.0000, test_loss: 0.0157, test_acc: 1.0000 
data division: 1/10, epoch: 45/100, train_loss: 0.0053, train_acc: 1.0000, test_loss: 0.0176, test_acc: 1.0000 
data division: 1/10, epoch: 46/100, train_loss: 0.0053, train_acc: 1.0000, test_loss: 0.0165, test_acc: 1.0000 
data division: 1/10, epoch: 47/100, train_loss: 0.0051, train_acc: 1.0000, test_loss: 0.0151, test_acc: 1.0000 
data division: 1/10, epoch: 48/100, train_loss: 0.0053, train_acc: 1.0000, test_loss: 0.0175, test_acc: 1.0000 
data division: 1/10, epoch: 49/100, train_loss: 0.0045, train_acc: 1.0000, test_loss: 0.0204, test_acc: 1.0000 
data division: 1/10, epoch: 50/100, train_loss: 0.0052, train_acc: 1.0000, test_loss: 0.0175, test_acc: 1.0000 
data division: 1/10, epoch: 51/100, train_loss: 0.0051, train_acc: 1.0000, test_loss: 0.0194, test_acc: 1.0000 
data division: 1/10, epoch: 52/100, train_loss: 0.0054, train_acc: 1.0000, test_loss: 0.0150, test_acc: 1.0000 
data division: 1/10, epoch: 53/100, train_loss: 0.0045, train_acc: 1.0000, test_loss: 0.0119, test_acc: 1.0000 
data division: 1/10, epoch: 54/100, train_loss: 0.0047, train_acc: 1.0000, test_loss: 0.0145, test_acc: 1.0000 
data division: 1/10, epoch: 55/100, train_loss: 0.0049, train_acc: 1.0000, test_loss: 0.0156, test_acc: 1.0000 
data division: 1/10, epoch: 56/100, train_loss: 0.0048, train_acc: 1.0000, test_loss: 0.0157, test_acc: 1.0000 
data division: 1/10, epoch: 57/100, train_loss: 0.0052, train_acc: 1.0000, test_loss: 0.0148, test_acc: 1.0000 
data division: 1/10, epoch: 58/100, train_loss: 0.0042, train_acc: 1.0000, test_loss: 0.0131, test_acc: 1.0000 
data division: 1/10, epoch: 59/100, train_loss: 0.0044, train_acc: 1.0000, test_loss: 0.0138, test_acc: 1.0000 
data division: 1/10, epoch: 60/100, train_loss: 0.0045, train_acc: 1.0000, test_loss: 0.0137, test_acc: 1.0000 
data division: 1/10, epoch: 61/100, train_loss: 0.0047, train_acc: 1.0000, test_loss: 0.0136, test_acc: 1.0000 
data division: 1/10, epoch: 62/100, train_loss: 0.0046, train_acc: 1.0000, test_loss: 0.0139, test_acc: 1.0000 
data division: 1/10, epoch: 63/100, train_loss: 0.0047, train_acc: 1.0000, test_loss: 0.0135, test_acc: 1.0000 
data division: 1/10, epoch: 64/100, train_loss: 0.0041, train_acc: 1.0000, test_loss: 0.0142, test_acc: 1.0000 
data division: 1/10, epoch: 65/100, train_loss: 0.0043, train_acc: 1.0000, test_loss: 0.0136, test_acc: 1.0000 
data division: 1/10, epoch: 66/100, train_loss: 0.0045, train_acc: 1.0000, test_loss: 0.0140, test_acc: 1.0000 
data division: 1/10, epoch: 67/100, train_loss: 0.0041, train_acc: 1.0000, test_loss: 0.0135, test_acc: 1.0000 
data division: 1/10, epoch: 68/100, train_loss: 0.0044, train_acc: 1.0000, test_loss: 0.0139, test_acc: 1.0000 
data division: 1/10, epoch: 69/100, train_loss: 0.0042, train_acc: 1.0000, test_loss: 0.0132, test_acc: 1.0000 
data division: 1/10, epoch: 70/100, train_loss: 0.0044, train_acc: 1.0000, test_loss: 0.0140, test_acc: 1.0000 
data division: 1/10, epoch: 71/100, train_loss: 0.0042, train_acc: 1.0000, test_loss: 0.0140, test_acc: 1.0000 
data division: 1/10, epoch: 72/100, train_loss: 0.0050, train_acc: 1.0000, test_loss: 0.0137, test_acc: 1.0000 
data division: 1/10, epoch: 73/100, train_loss: 0.0040, train_acc: 1.0000, test_loss: 0.0138, test_acc: 1.0000 
data division: 1/10, epoch: 74/100, train_loss: 0.0040, train_acc: 1.0000, test_loss: 0.0138, test_acc: 1.0000 
data division: 1/10, epoch: 75/100, train_loss: 0.0041, train_acc: 1.0000, test_loss: 0.0140, test_acc: 1.0000 
data division: 1/10, epoch: 76/100, train_loss: 0.0045, train_acc: 1.0000, test_loss: 0.0137, test_acc: 1.0000 
data division: 1/10, epoch: 77/100, train_loss: 0.0045, train_acc: 1.0000, test_loss: 0.0141, test_acc: 1.0000 
data division: 1/10, epoch: 78/100, train_loss: 0.0043, train_acc: 1.0000, test_loss: 0.0135, test_acc: 1.0000 
data division: 1/10, epoch: 79/100, train_loss: 0.0045, train_acc: 1.0000, test_loss: 0.0134, test_acc: 1.0000 
